iter	Passed	Remaining
0	19	3844
1	36	3592
2	54	3587
3	71	3500
4	86	3358
5	104	3371
6	117	3228
7	132	3169
8	146	3111
9	160	3055
10	177	3048
11	190	2987
12	195	2810
13	212	2821
14	220	2719
15	235	2708
16	247	2663
17	258	2610
18	271	2589
19	282	2542
20	296	2526
21	305	2469
22	315	2428
23	327	2403
24	335	2349
25	343	2301
26	354	2269
27	362	2225
28	369	2178
29	384	2176
30	397	2165
31	408	2145
32	414	2100
33	424	2073
34	433	2045
35	444	2024
36	459	2022
37	475	2026
38	482	1990
39	491	1967
40	502	1948
41	518	1950
42	530	1937
43	545	1933
44	560	1930
45	574	1921
46	587	1911
47	596	1887
48	609	1877
49	622	1867
50	637	1863
51	650	1852
52	661	1835
53	677	1831
54	692	1825
55	704	1812
56	715	1795
57	728	1783
58	736	1759
59	750	1750
60	761	1734
61	765	1704
62	779	1695
63	792	1683
64	802	1667
65	817	1660
66	830	1649
67	835	1622
68	849	1613
69	865	1607
70	879	1598
71	885	1573
72	897	1561
73	908	1546
74	917	1528
75	928	1515
76	936	1495
77	948	1482
78	956	1464
79	970	1455
80	977	1435
81	988	1423
82	999	1408
83	1012	1397
84	1025	1387
85	1036	1374
86	1048	1361
87	1063	1353
88	1068	1333
89	1080	1321
90	1094	1311
91	1107	1300
92	1115	1283
93	1121	1264
94	1134	1253
95	1147	1243
96	1161	1232
97	1171	1219
98	1183	1207
99	1196	1196
100	1205	1182
101	1212	1164
102	1223	1151
103	1236	1141
104	1242	1124
105	1249	1108
106	1262	1097
107	1274	1085
108	1279	1068
109	1286	1052
110	1299	1042
111	1313	1031
112	1327	1022
113	1341	1012
114	1348	996
115	1354	981
116	1361	965
117	1373	954
118	1386	943
119	1400	933
120	1413	923
121	1424	910
122	1439	901
123	1456	892
124	1471	882
125	1484	871
126	1493	858
127	1504	846
128	1510	831
129	1515	815
130	1528	804
131	1536	791
132	1549	780
133	1557	767
134	1569	755
135	1575	741
136	1587	730
137	1597	717
138	1602	703
139	1615	692
140	1629	681
141	1641	670
142	1652	658
143	1666	647
144	1677	636
145	1691	625
146	1695	611
147	1700	597
148	1710	585
149	1722	574
150	1727	560
151	1741	549
152	1748	537
153	1752	523
154	1762	511
155	1772	499
156	1780	487
157	1792	476
158	1797	463
159	1814	453
160	1819	440
161	1834	430
162	1843	418
163	1858	407
164	1862	395
165	1877	384
166	1891	373
167	1895	361
168	1904	349
169	1916	338
170	1920	325
171	1934	314
172	1949	304
173	1965	293
174	1983	283
175	1988	271
176	2002	260
177	2010	248
178	2024	237
179	2032	225
180	2037	213
181	2045	202
182	2050	190
183	2058	178
184	2062	167
185	2074	156
186	2088	145
187	2093	133
188	2106	122
189	2111	111
190	2117	99
191	2124	88
192	2136	77
193	2150	66
194	2162	55
195	2177	44
196	2183	33
197	2194	22
198	2207	11
199	2220	0
